label	dish	category	closest_site_recipe	site_id	reason	video_count	main_video
new	مرقة فورية بيتي	أكلات شهية			مرقة فورية بيتي	1	https://www.youtube.com/watch?v=Wn8OJQPVZqY
new	مطة الكويماك	أكلات شهية			الكيماك التركي (قشطة الفطور)	1	https://www.youtube.com/watch?v=ntz58VutY7w
new	موتزاريلا بيتي	أكلات شهية			موتزاريلا بيتي	1	https://www.youtube.com/watch?v=h2R9tRtEQX0
new	تونة بيتي	بحريات			تونة معلبة في البيت	1	https://www.youtube.com/watch?v=zxSxsWuHnOg
new	جمبري بالبطاطس	بحريات			جمبري بالبطاطس	1	https://www.youtube.com/watch?v=zjaNmc58SUs
new	سردين مملح	بحريات			سردين مملح بيتي	1	https://www.youtube.com/watch?v=MKyllGlmT3I
new	سمك مدخن	بحريات			سمك مدخن	1	https://www.youtube.com/watch?v=53DLl3F7q10
new	صينية بحريات	بحريات			صينية مأكولات بحرية مشوية	1	https://www.youtube.com/watch?v=bHL8TsyWAu0
new	طاجن جمبري	بحريات			طاجن الجمبري	1	https://www.youtube.com/watch?v=A43SEZU-s-o
new	فسيخ البوري	بحريات			فسيخ البوري بيتي	1	https://www.youtube.com/watch?v=zXbqbjLssfA
new	مكرونة وايت صوص بالجمبري	بحريات			مكرونة وايت صوص بالجمبري	1	https://www.youtube.com/watch?v=ANOQRuDTwCA
new	بسكويت اللانشكير	حلويات خفيفة			بسكويت اللانكشير المحشو بالمربى	1	https://www.youtube.com/watch?v=56eG1oOvpOs
new	بسكويت اللانكشير	حلويات خفيفة			بسكويت اللانكشير المحشو بالمربى	1	https://www.youtube.com/watch?v=LcQQvlXzawM
new	بسكويت الموز	حلويات خفيفة			بسكويت بالموز	1	https://www.youtube.com/watch?v=mXT7FUciTco
new	بسكويت اليانسون	حلويات خفيفة			بسكويت اليانسون	1	https://www.youtube.com/watch?v=FQ1j8UJ-pZ8
new	ترافلز بالبسكويت والشيكولاتة	حلويات خفيفة			ترافلز بالبسكويت والشيكولاتة	1	https://www.youtube.com/watch?v=z9qB6N2o06s
new	تغميسات البسكويت	حلويات خفيفة			تغميسات للبسكويت	1	https://www.youtube.com/watch?v=JArYJHFohAg
new	جيلي كولا	حلويات خفيفة			جيلي بالكولا	1	https://www.youtube.com/watch?v=D5uxtlnm0yo
new	جيلي مانجو	حلويات خفيفة			جيلي المانجو	1	https://www.youtube.com/watch?v=DGjpXa8EiNI
new	حلاوة سبريد	حلويات خفيفة			حلاوة طحينية قابلة للدهن	1	https://www.youtube.com/watch?v=aEbEWvPXKYM
new	حلويات سريعة	حلويات خفيفة			حلوى سريعة غير محددة الاسم؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=Qnx3cmmHRWw
new	ديت بوبس	حلويات خفيفة			ديت بوبس (كرات تمر مغطاة بالشيكولاتة)	1	https://www.youtube.com/watch?v=dBSUoJ8xRnQ
new	روكي رود بالمارشميلو	حلويات خفيفة			روكي رود بالمارشميلو	1	https://www.youtube.com/watch?v=n2KXsctFpr0
new	زبدة الفول السوداني	حلويات خفيفة			زبدة الفول السوداني	1	https://www.youtube.com/watch?v=aEbEWvPXKYM
new	زبدة اللوتس	حلويات خفيفة			زبدة اللوتس	1	https://www.youtube.com/watch?v=aEbEWvPXKYM
new	شابورة	حلويات خفيفة			الشابورة	1	https://www.youtube.com/watch?v=XIAvntk2Odo
new	شابورة اليانسون	حلويات خفيفة			شابورة اليانسون	1	https://www.youtube.com/watch?v=N-VXz_DyKjM
new	فايش	حلويات خفيفة			الفايش	1	https://www.youtube.com/watch?v=zS7xZGqyK48
new	فيريرو روشيه	حلويات خفيفة			فيريرو روشيه بيتي	1	https://www.youtube.com/watch?v=dBSUoJ8xRnQ
new	كيك المانجو	حلويات خفيفة			كيك المانجو	2	https://www.youtube.com/watch?v=iu3dgWKAPBs
new	مربى جوز الهند	حلويات خفيفة			مربى جوز الهند	1	https://www.youtube.com/watch?v=o6coZyXUhiY
new	نوتيلا بيتي	حلويات خفيفة			نوتيلا بيتي	1	https://www.youtube.com/watch?v=aEbEWvPXKYM
new	المحوجة	حلويات شرقية			المحوجة	1	https://www.youtube.com/watch?v=JcWCfqTD4vE
new	حلاوة طحينية	حلويات شرقية			حلاوة طحينية بيتي	1	https://www.youtube.com/watch?v=Jw7m0iimqjw
new	حمصية	حلويات شرقية			الحمصية	1	https://www.youtube.com/watch?v=8GlPM9CED2Y
new	ريحة الكحك	حلويات شرقية			خلطة ريحة الكحك	2	https://www.youtube.com/watch?v=7PWdiDm9-IE
new	سمسمية	حلويات شرقية			السمسمية	2	https://www.youtube.com/watch?v=8GlPM9CED2Y
new	عزيزية	حلويات شرقية			العزيزية	1	https://www.youtube.com/watch?v=rgthcnRLyt8
new	فولية	حلويات شرقية			الفولية (حلاوة المولد بالفول السوداني)؛ غير فولية الفول النابت في الموقع	1	https://www.youtube.com/watch?v=8GlPM9CED2Y
new	كنافة جيلي الفواكه	حلويات شرقية			كنافة بجيلي الفواكه	1	https://www.youtube.com/watch?v=tqjHrBi3IkE
new	كيك الجلاش	حلويات شرقية			كيك الجلاش باللبن	1	https://www.youtube.com/watch?v=T4dGg1A_yeA
new	كيك الرواني	حلويات شرقية			كيك الرواني بالسميد وجوز الهند	1	https://www.youtube.com/watch?v=m5vGV3ASOO8
new	مشبك دمياطي	حلويات شرقية			المشبك الدمياطي	1	https://www.youtube.com/watch?v=Hfn6nBgyV-c
new	وربات بالقشطة	حلويات شرقية			وربات بالقشطة	1	https://www.youtube.com/watch?v=U8vBe47HaQY
new	تريفل المانجا	حلويات غربية			تريفل المانجو	1	https://www.youtube.com/watch?v=asc2cEn07h4
new	حلى السعادة	حلويات غربية			حلى السعادة	1	https://www.youtube.com/watch?v=vbg-CSgKEBE
new	سابليه	حلويات غربية			السابليه	1	https://www.youtube.com/watch?v=A8daW2aN_XQ
new	سابليه بالجناش	حلويات غربية			سابليه بالجناش	1	https://www.youtube.com/watch?v=zQiTVP0vZJc
new	شارلوت المانجو	حلويات غربية			شارلوت المانجو	1	https://www.youtube.com/watch?v=Mj2Q8xfF0Po
new	كيك الحليب الساخن	حلويات غربية			كيك الحليب الساخن	1	https://www.youtube.com/watch?v=dvlxv0AIGAk
new	كيك الشطرنج	حلويات غربية			كيك الشطرنج	1	https://www.youtube.com/watch?v=x9ldi7MJelw
new	كيك المالاجا	حلويات غربية			كيك المالاجا	1	https://www.youtube.com/watch?v=G1BS_wqCw0s
new	كيك شاي الكرك	حلويات غربية			كيك بشاي الكرك	1	https://www.youtube.com/watch?v=ITKUkffwH3I
new	كيك ماربل موس بدون فرن	حلويات غربية			كيك ماربل موس بدون فرن	1	https://www.youtube.com/watch?v=uEn7f04BjXA
new	كيكة السبع كوبايات	حلويات غربية			كيكة السبع أكواب	1	https://www.youtube.com/watch?v=lFQJ0TXNsrc
new	كيكة العسل الروسية	حلويات غربية			كيكة العسل الروسية	1	https://www.youtube.com/watch?v=dzmiBxLxzFI
new	كيكة القهوة	حلويات غربية			كيكة القهوة	1	https://www.youtube.com/watch?v=RBpd91FmRB0
new	كيكة الكوكيز	حلويات غربية			كيكة الكوكيز	1	https://www.youtube.com/watch?v=E3L8uaFJh9k
new	كيكة الليمون	حلويات غربية			كيكة الليمون	1	https://www.youtube.com/watch?v=kOzeJkDxu7w
new	كيكة ديسباسيتو	حلويات غربية			كيكة ديسباسيتو	1	https://www.youtube.com/watch?v=RfhBLREho2Y
new	مارشميلو	حلويات غربية			مارشميلو بيتي	1	https://www.youtube.com/watch?v=ZHyMhRLTnJ8
new	مج كيك شيكولاتة دايت	حلويات غربية			مج كيك شيكولاتة	1	https://www.youtube.com/watch?v=x0zWRaOKbGA
new	ميني كيك ريد فيلفت	حلويات غربية			ميني كيك ريد فيلفت	1	https://www.youtube.com/watch?v=MIkIyckLZ-U
new	بيتزا البطاطس	خضروات			بيتزا بقاعدة بطاطس	1	https://www.youtube.com/watch?v=v7W3WubRzxc
new	شطّيطة حارة مع باذنجان مشوي	خضروات			شطيطة حارة بالباذنجان المشوي	1	https://www.youtube.com/watch?v=W8my3yZTMCQ
new	شلولو صعيدي	خضروات			الشلولو الصعيدي	2	https://www.youtube.com/watch?v=giP4cQ7ioX4
new	تصبيرة	سلطات			طبق جانبي (تصبيرة) غير مسمّى في العنوان؛ يحتاج مراجعة	1	https://www.youtube.com/watch?v=pOYxhRpYCAo
new	سلطة حرشة	سلطات			سلطة حرشة	1	https://www.youtube.com/watch?v=ZLWtOP1YM48
new	بابا روتي	فطائر حلوة			بابا روتي (خبز القهوة الماليزي)	1	https://www.youtube.com/watch?v=wgC19Q_3ywc
new	بسكويت دايجستف	فطائر حلوة			بسكويت دايجستف بيتي	1	https://www.youtube.com/watch?v=JArYJHFohAg
new	ساندوتش مولتو بحشوات مختلفة	فطائر حلوة			ساندوتش مولتو بحشوات	1	https://www.youtube.com/watch?v=D3SkwMDsf2A
new	فطاير البيدا التركي	فطائر حلوة			فطائر البيدا التركية	1	https://www.youtube.com/watch?v=GsyCfqhXiYo
new	فطاير بالقهوة	فطائر حلوة			فطائر بطعم القهوة (بابا روتي)	1	https://www.youtube.com/watch?v=izUKxoLoanY
new	فطيرة الصيف	فطائر حلوة			فطيرة الصيف (الحشوة غير مسمّاة)؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=GAFt0LfzcMA
new	فيونكات الشيكولاتة	فطائر حلوة			فيونكات الشيكولاتة	1	https://www.youtube.com/watch?v=ZtD-iB4jouA
new	قرص بدقيق الحبة الكاملة	فطائر حلوة			قرص بدقيق الحبة الكاملة	1	https://www.youtube.com/watch?v=W_mhhYG7ILs
new	مولتو بصوص الشيكولاتة	فطائر حلوة			مولتو بصوص الشيكولاتة	1	https://www.youtube.com/watch?v=500TNVKlBtA
new	وردات التمر	فطائر حلوة			وردات التمر	1	https://www.youtube.com/watch?v=JLEmSYH_dn4
new	استيك بصوص المشروم	لحوم وطيور			ستيك لحم بصوص المشروم	1	https://www.youtube.com/watch?v=jb4w7kaN5A4
new	بيكاتا الفراخ بالمشروم	لحوم وطيور			بيكاتا الدجاج بالمشروم	1	https://www.youtube.com/watch?v=ps-FpLIs6ds
new	تشيكن استروجانوف	لحوم وطيور			تشيكن ستروجانوف	1	https://www.youtube.com/watch?v=lyXwikfheZQ
new	تشيكن رول بحشوة الأوزي	لحوم وطيور			رول دجاج محشو بالأوزي	1	https://www.youtube.com/watch?v=JrRLMAt17e8
new	حمام كداب	لحوم وطيور			حمام كداب	1	https://www.youtube.com/watch?v=2ia_zZxcOq8
new	زند ضاني بورق العنب	لحوم وطيور			زند ضاني بورق العنب	1	https://www.youtube.com/watch?v=-f9-Yb_XEWY
new	ساندوتش السمين	لحوم وطيور			ساندوتش السمين	1	https://www.youtube.com/watch?v=GW8RtvSz_vk
new	سجق بيتي	لحوم وطيور			سجق بيتي	1	https://www.youtube.com/watch?v=VIMyOToG1Tw
new	سوسيس فراخ مدخن	لحوم وطيور			سوسيس دجاج مدخن بيتي	1	https://www.youtube.com/watch?v=kC2GfCHP40k
new	صدور الفراخ المدخنة	لحوم وطيور			صدور دجاج مدخنة	2	https://www.youtube.com/watch?v=a0Q-vZwVgWk
new	صينية الكبدة بالليّة	لحوم وطيور			صينية الكبدة بالليّة	1	https://www.youtube.com/watch?v=pfLvY5XKd9A
new	طاجن اللحمة بالعجين	لحوم وطيور			طاجن اللحم مغطى بالعجين	1	https://www.youtube.com/watch?v=YB8-9qOU_zg
new	طاجن صدور الفراخ بالبطاطس والجبنة	لحوم وطيور			طاجن صدور الدجاج بالبطاطس والجبن	1	https://www.youtube.com/watch?v=mgLIiDAqNSs
new	طاجن لحمة بالبطاطس مغطى بالعجين	لحوم وطيور			طاجن لحم بالبطاطس مغطى بالعجين	1	https://www.youtube.com/watch?v=-J4Wdo3I-2s
new	عرق فلتو بالبصل	لحوم وطيور			عرق فلتو بالبصل	1	https://www.youtube.com/watch?v=3rG-oWDrTdI
new	فتة الحواوشي	لحوم وطيور			فتة الحواوشي	1	https://www.youtube.com/watch?v=eAFig7zlkZI
new	فتة الكبدة	لحوم وطيور			فتة الكبدة	1	https://www.youtube.com/watch?v=fXK-JcuWwfM
new	فتة كفتة الفراخ	لحوم وطيور			فتة كفتة الدجاج	1	https://www.youtube.com/watch?v=jzpy7zzbawU
new	فخارة اللحم التركية	لحوم وطيور			فخارة اللحم التركية	1	https://www.youtube.com/watch?v=eT3jJPnwHJw
new	فراخ محشية بالسبانخ والجبنة	لحوم وطيور			دجاج محشي بالسبانخ والجبن	1	https://www.youtube.com/watch?v=iJd1t4bEYuw
new	كباب رول	لحوم وطيور			كباب رول	1	https://www.youtube.com/watch?v=NOtf5qFNqjU
new	كباب فراخ مدخن	لحوم وطيور			كباب دجاج مدخن	1	https://www.youtube.com/watch?v=Ka7AvCg2PxM
new	كفتة الكوردن بلو	لحوم وطيور			كفتة كوردن بلو	1	https://www.youtube.com/watch?v=6p2UfDTe28Q
new	كوردن بلو	لحوم وطيور			الكوردن بلو	1	https://www.youtube.com/watch?v=FpKZL-_bQhA
new	كوردون بلو	لحوم وطيور			الكوردن بلو	2	https://www.youtube.com/watch?v=N1q2Kg8in5w
new	لحم دايب	لحوم وطيور			لحم مطهو ببطء مع الأرز الأصفر	1	https://www.youtube.com/watch?v=FHeo-AxnAFU
new	لحمة مدخنة	لحوم وطيور			لحمة مدخنة	1	https://www.youtube.com/watch?v=sBauFgcjABY
new	لحمة مدمسة في الفخار	لحوم وطيور			لحمة مدمسة في الفخار	1	https://www.youtube.com/watch?v=-z-8Ee8G4B0
new	مزاليكا	لحوم وطيور			المزاليكا	1	https://www.youtube.com/watch?v=WO5KGhL9yew
new	مضغوط اللحم بالرز	لحوم وطيور			مضغوط اللحم بالأرز (سعودي)	1	https://www.youtube.com/watch?v=ecN_HSdPpRQ
new	مكرونة بالستيك	لحوم وطيور			مكرونة بالستيك والبصل	1	https://www.youtube.com/watch?v=1cSTBK01BBw
new	نقانق بالبطاطس	لحوم وطيور			نقانق بالبطاطس	1	https://www.youtube.com/watch?v=YY33EbjEJpQ
new	ورقة لحمة	لحوم وطيور			ورقة لحمة	3	https://www.youtube.com/watch?v=2AFw9L1WH10
new	رول الفراخ المحشي	محشوات			رول دجاج محشي في الفرن	1	https://www.youtube.com/watch?v=5RMwiOD2CQE
new	سبانش لاتيه	مشروبات			سبانيش لاتيه	1	https://www.youtube.com/watch?v=f9rZ4EJhmlQ
new	شاي نوبي	مشروبات			الشاي النوبي	1	https://www.youtube.com/watch?v=1Z7JCQkF1RU
new	كابتشينو	مشروبات			الكابتشينو	1	https://www.youtube.com/watch?v=bBiNEByS4GM
new	كريم كراميل لاتيه	مشروبات			كريم كراميل لاتيه	1	https://www.youtube.com/watch?v=SbQ3WVGuksc
new	ماكياتو	مشروبات			الماكياتو	1	https://www.youtube.com/watch?v=nyX6SSr6IwQ
new	موهيتو فراولة	مشروبات			موهيتو الفراولة	1	https://www.youtube.com/watch?v=KgySZxu0sxY
new	ميلك شيك	مشروبات			ميلك شيك	1	https://www.youtube.com/watch?v=PQB5WHwCgRs
new	ميلك شيك أوريو	مشروبات			ميلك شيك أوريو	1	https://www.youtube.com/watch?v=ZgbmD7whkqU
new	ميلك شيك التين الشوكي	مشروبات			ميلك شيك التين الشوكي	1	https://www.youtube.com/watch?v=ShtqwXUOeBg
new	ميلك شيك القهوة	مشروبات			ميلك شيك القهوة	1	https://www.youtube.com/watch?v=49jakUGqEWE
new	نسكافيه	مشروبات			نسكافيه مخفوق	1	https://www.youtube.com/watch?v=bBiNEByS4GM
new	هوت شوكليت بالمارشميلو	مشروبات			هوت شوكليت بالمارشميلو	1	https://www.youtube.com/watch?v=ivY4kfOJUJQ
new	الشوريك	معجنات			الشوريك (بريوش جزائري)	1	https://www.youtube.com/watch?v=I4lLpZEtaJk
new	بقسماط بيتي	معجنات			بقسماط بيتي	1	https://www.youtube.com/watch?v=s_Mo3V1_Nqg
new	بوريك الأفران	معجنات			بوريك الأفران	1	https://www.youtube.com/watch?v=pgEV5ZvS1t0
new	بوريك تركي	معجنات			بوريك تركي	2	https://www.youtube.com/watch?v=xge9jJGIEw4
new	بوريك تركي باللحمة المفرومة	معجنات			بوريك تركي باللحم المفروم	1	https://www.youtube.com/watch?v=MqaRXJ69R6c
new	خبز البالون التركي	معجنات			خبز البالون التركي	1	https://www.youtube.com/watch?v=86W804qeRzE
new	خبز الدار	معجنات			خبز الدار	1	https://www.youtube.com/watch?v=o5oOMxM4Duo
new	خبز الملعقة	معجنات			خبز الملعقة	1	https://www.youtube.com/watch?v=HpG3Y5Lhw-g
new	خبز الملعقة البني الصحي	معجنات			خبز الملعقة الأسمر	1	https://www.youtube.com/watch?v=2OIj6ZRl_JQ
new	خبز صحي	معجنات			خبز صحي في الطاسة	1	https://www.youtube.com/watch?v=MxgJMmHqQuA
new	رغيف الساوردو	معجنات			خبز الساوردو	1	https://www.youtube.com/watch?v=2AWeHptDMk8
new	رقائق السمبوسة	معجنات			عمل رقائق السمبوسة في البيت	1	https://www.youtube.com/watch?v=qhfRXfO4myc
new	رولات الجبنة	معجنات			رولات عجين بالجبن	2	https://www.youtube.com/watch?v=58h1J_tMFJg
new	ساندوتشات المدرسة	معجنات			عيش ساندوتشات المدرسة	1	https://www.youtube.com/watch?v=lyX6D2uEV7M
new	ساندوتشات بحشوة البطاطس والجبنة	معجنات			ساندوتشات بحشوة البطاطس والجبن	1	https://www.youtube.com/watch?v=d9bc3DXToAI
new	ساندوتشات بدون خميرة ولا فرن	معجنات			ساندوتشات بدون خميرة ولا فرن	1	https://www.youtube.com/watch?v=o4QY31sxbGM
new	ساندوتشات محشية بالجبن	معجنات			عيش ساندوتشات محشي بالجبن	1	https://www.youtube.com/watch?v=3THmeW_dr_A
new	ساندوتشات محشية بدون فرن	معجنات			ساندوتشات محشية في الطاسة بدون فرن	1	https://www.youtube.com/watch?v=OoNOAhwl0ec
new	ساندوتشات مولتو	معجنات			ساندوتشات مولتو	1	https://www.youtube.com/watch?v=fYAavsSPrV0
new	ضفاير البريوش	معجنات			ضفائر البريوش	1	https://www.youtube.com/watch?v=lj51WUjB_Wg
new	عيش أسمر	معجنات			عيش أسمر	1	https://www.youtube.com/watch?v=jfvnsJt49Ss
new	عيش إسفنجي بدون فرن	معجنات			عيش إسفنجي بدون فرن	2	https://www.youtube.com/watch?v=HGGHcLnuYZg
new	عيش البكاكين	معجنات			عيش البكاكين	1	https://www.youtube.com/watch?v=ryL7ug9W660
new	عيش الصايمين	معجنات			عيش الصايمين	1	https://www.youtube.com/watch?v=zP0P45giIiQ
new	عيش بدون عجن	معجنات			عيش بدون عجن في الطاسة	1	https://www.youtube.com/watch?v=RYVfa8gufIE
new	عيش بلدي	معجنات			العيش البلدي	1	https://www.youtube.com/watch?v=BY0DwehYSgk
new	عيش بلدي بدون فرن	معجنات			عيش بلدي بدون فرن	1	https://www.youtube.com/watch?v=q1BE1Yaa_Mc
new	عيش بوري بدون فرن	معجنات			عيش بوري منفوخ بدون فرن	1	https://www.youtube.com/watch?v=6uHf2IGikCA
new	عيش تركي	معجنات			عيش تركي	1	https://www.youtube.com/watch?v=khxODNloW7k
new	عيش شامي	معجنات			العيش الشامي	1	https://www.youtube.com/watch?v=tIP8Ey2_2yU
new	عيش عربي	معجنات			العيش العربي	1	https://www.youtube.com/watch?v=UO5W29Kj6s4
new	عيش فلاحي بدون خميرة	معجنات			عيش فلاحي بدون خميرة	1	https://www.youtube.com/watch?v=SJwLN02PIOw
new	عيش كيزر محشي	معجنات			عيش كيزر محشي	1	https://www.youtube.com/watch?v=NRYMXNCmeR4
new	فطائر البطاطس بدون فرن	معجنات			فطائر البطاطس في الطاسة بدون فرن	1	https://www.youtube.com/watch?v=56i-SV-Rm_E
new	فطائر الحلوم	معجنات			فطائر الحلوم	1	https://www.youtube.com/watch?v=oCqL-R_bsus
new	فطائر الوردة	معجنات			فطائر الوردة	1	https://www.youtube.com/watch?v=GsbY70TBlls
new	فطائر بالبطاطس والبيض	معجنات			فطائر بالبطاطس والبيض	1	https://www.youtube.com/watch?v=1K0ilKU7rmo
new	فطائر تركية مسقية بالجبنة	معجنات			فطائر تركية مسقية بصوص وحشوة جبن	1	https://www.youtube.com/watch?v=X4PzOYs2lkY
new	فطائر تركية مورقة	معجنات			فطائر تركية مورقة	1	https://www.youtube.com/watch?v=muBA0wc17U8
new	فطائر روسية باللحمة	معجنات			الفطائر الروسية باللحم	1	https://www.youtube.com/watch?v=2IGvSYZb2Ok
new	فطائر سريعة	معجنات			فطائر سريعة بعجينة قطنية	1	https://www.youtube.com/watch?v=xXEeIz29_88
new	فطائر منفوخة بالجبنة	معجنات			فطائر منفوخة بالجبن	1	https://www.youtube.com/watch?v=on1xSrcwR-c
new	فطاير بالسجق	معجنات			فطائر بالسجق	1	https://www.youtube.com/watch?v=8LHjTetgJQs
new	فطيرة الراعي	معجنات			فطيرة الراعي	1	https://www.youtube.com/watch?v=T91fYVVB_so
new	فطيرة لحمة بالبطاطس	معجنات			فطيرة لحم بالبطاطس	1	https://www.youtube.com/watch?v=r7E3uK2AFFI
new	فوكاشيا بالزيتون	معجنات			فوكاشيا بالزيتون	1	https://www.youtube.com/watch?v=rNvfhPclSXY
new	قرص بالسكر والسمسم	معجنات			قرص بالسكر والسمسم	1	https://www.youtube.com/watch?v=0ccPafcDUWI
new	قرص طرية بالقشطة	معجنات			قرص طرية بالقشطة	1	https://www.youtube.com/watch?v=oH0_33up3PA
new	قرص طرية فلاحي	معجنات			القرص الطرية الفلاحي	2	https://www.youtube.com/watch?v=w1qqj8pvTDc
new	ميني ساندوتش بالجبن	معجنات			ميني ساندوتش بالجبن	1	https://www.youtube.com/watch?v=UhuSCqun1Hk
new	وردات البريوش	معجنات			وردات البريوش	1	https://www.youtube.com/watch?v=jAWLlMPPcNc
new	وردات السوسيس	معجنات			وردات السوسيس	1	https://www.youtube.com/watch?v=6jRIxZK6mQE
new	رز الريزو	نشويات			أرز الريزو على طريقة مطاعم الوجبات السريعة	1	https://www.youtube.com/watch?v=Rd_6DhwlM7c
new	رز الريزو بالصوص	نشويات			أرز الريزو بالصوص على طريقة المطاعم	1	https://www.youtube.com/watch?v=UN4KAuh4_ig
new	رز كابلي بالدجاج	نشويات			أرز كابلي بالدجاج (أفغاني)	1	https://www.youtube.com/watch?v=3qyiDlopImY
new	صيادية الفراخ	نشويات			صيادية الدجاج	1	https://www.youtube.com/watch?v=epN5-1-uH3w
new	طاجن مفاجأة	نشويات			طاجن مع السمك المدخن غير مسمّى في العنوان (طاجن مفاجأة)؛ يحتاج مراجعة	1	https://www.youtube.com/watch?v=53DLl3F7q10
new	مكرونة الفاهيتا بالفراخ	نشويات			مكرونة الفاهيتا بالدجاج	1	https://www.youtube.com/watch?v=mRPUS_nW_94
new	مكرونة بالجمبري والوايت صوص	نشويات			مكرونة بالجمبري والصوص الأبيض	1	https://www.youtube.com/watch?v=TScAbf47Y2I
new	مكرونة بالكبدة	نشويات			مكرونة بالكبدة	1	https://www.youtube.com/watch?v=JfnME1hIrDA
new	مكرونة وايت صوص بكفتة الفراخ	نشويات			مكرونة وايت صوص بكفتة الدجاج	1	https://www.youtube.com/watch?v=qQAAtO_lJAk
new	بيتزا كريب	وجبات سريعة			بيتزا بقاعدة كريب	2	https://www.youtube.com/watch?v=UScb_T4t0ZU
new	تشيكن رولز	وجبات سريعة			تشيكن رولز	1	https://www.youtube.com/watch?v=B1hGb_WfqFw
new	ساندوتش السوسيس	وجبات سريعة			ساندوتش السوسيس	1	https://www.youtube.com/watch?v=EZCO9_xoih0
new	ساندوتش فراخ مدخنة	وجبات سريعة			ساندوتش دجاج مدخن	1	https://www.youtube.com/watch?v=GL0Q3TL_lUo
new	ساندوتشات	وجبات سريعة			ساندوتشات بدون اسم محدد؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=gCejnOq6LFM
new	ساندوتشات البطاطس السوري بالتومية	وجبات سريعة			ساندوتش البطاطس السوري بالتومية	1	https://www.youtube.com/watch?v=-GUoC0DmPAA
new	ساندوتشات الصيف	وجبات سريعة			ساندوتشات الصيف بدون اسم محدد؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=RvpaSdBUY9w
new	ساندوتشات الماتش	وجبات سريعة			ساندوتشات الماتش بدون اسم محدد؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=RvpaSdBUY9w
new	ساندوتشات المصيف	وجبات سريعة			ساندوتشات المصيف بدون اسم محدد؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=RvpaSdBUY9w
new	سندوتشات	وجبات سريعة			سندوتشات بدون اسم محدد؛ تحتاج مراجعة	1	https://www.youtube.com/watch?v=qkTLQ9c0J50
new	طاسات الجبنة السايحة	وجبات سريعة			طاسات الجبنة السايحة	1	https://www.youtube.com/watch?v=_fDBCIVo4GE
new	فطار العيد	وجبات سريعة			طاسة مشكل (فواكه اللحوم) لفطار العيد	1	https://www.youtube.com/watch?v=cV07gwQgqyY
new	كاب كنافة بالشاورما	وجبات سريعة			أكواب كنافة محشية بالشاورما	1	https://www.youtube.com/watch?v=6nn8elXMan0
new	كاساديا الفراخ	وجبات سريعة			كاساديا الدجاج	2	https://www.youtube.com/watch?v=RcvRTvc8QOo
